Tasks,Pr(Comp 1 | Task),Pr(Comp 2 | Task),Pr(Comp 3 | Task),Pr(Comp 4 | Task),Pr(Comp 5 | Task),Pr(Comp 6 | Task),Pr(Comp 7 | Task),Pr(Comp 8 | Task),Pr(Comp 9 | Task),Pr(Comp 10 | Task),Pr(Comp 11 | Task),Pr(Comp 12 | Task),Pr(Comp 13 | Task),Pr(Comp 14 | Task)
Delayed Match To Sample,0.03714,0.00146,0.00006,0.26577,0.07857,0.09475,0.08691,0.03210,0.09193,0.23933,0.01859,0.00002,0.02399,0.02938
Divided Auditory Attention,0.02861,0.17050,0.18278,0.26057,0.00031,0.00007,0.00036,0.06506,0.00496,0.08536,0.07217,0.12829,0.00086,0.00013
Drawing,0.08211,0.00002,0.02383,0.00001,0.00001,0.00001,0.89395,0.00002,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Eating/Drinking,0.00005,0.07561,0.00092,0.00707,0.00001,0.03224,0.00001,0.03953,0.24034,0.00003,0.00022,0.00847,0.30664,0.28886
Encoding,0.01758,0.00454,0.00463,0.16031,0.02634,0.13642,0.06990,0.01249,0.03694,0.10224,0.20417,0.04880,0.16035,0.01529
Episodic Recall,0.00001,0.08490,0.00024,0.00041,0.01224,0.01176,0.00114,0.00861,0.14635,0.00458,0.32220,0.22447,0.10478,0.07828
Face Monitor/Discrimination,0.00017,0.01688,0.03956,0.13463,0.00049,0.01582,0.00000,0.00292,0.00072,0.00001,0.00821,0.07341,0.68103,0.02614
Film Viewing,0.01149,0.01305,0.07780,0.11039,0.09184,0.00118,0.03305,0.02994,0.07403,0.03338,0.00534,0.21884,0.19056,0.10910
Finger Tapping,0.64965,0.00028,0.00432,0.01170,0.03543,0.00216,0.02191,0.25618,0.01610,0.00214,0.00000,0.00000,0.00000,0.00013
Fixation,0.00003,0.05908,0.03918,0.09956,0.11479,0.00004,0.17606,0.02510,0.02316,0.09605,0.36582,0.00011,0.00003,0.00098
Flanker Task,0.17417,0.01931,0.00003,0.05111,0.01994,0.00004,0.04874,0.00228,0.29662,0.30474,0.00009,0.05661,0.00007,0.02626
Flashing Checkerboard,0.07775,0.24308,0.00005,0.11294,0.56563,0.00010,0.00005,0.00015,0.00004,0.00004,0.00005,0.00004,0.00004,0.00004
Flexion/Extension,0.26058,0.20347,0.00000,0.00001,0.02729,0.00001,0.04652,0.46203,0.00002,0.00001,0.00001,0.00001,0.00001,0.00004
Free Word List Recall,0.00749,0.00124,0.13908,0.00747,0.05746,0.05338,0.00033,0.01062,0.10336,0.24754,0.27179,0.07269,0.00157,0.02598
Go/No-Go,0.09153,0.00936,0.04872,0.07167,0.04427,0.00396,0.04413,0.01976,0.31502,0.16559,0.04078,0.08255,0.01259,0.05008
Grasping,0.50210,0.00002,0.00019,0.00002,0.01795,0.00002,0.13371,0.25407,0.00021,0.09134,0.00021,0.00013,0.00001,0.00001
Imagined Movement,0.32546,0.08587,0.00001,0.05004,0.02050,0.15201,0.25263,0.04856,0.06396,0.00059,0.00001,0.00011,0.00001,0.00025
